smiles NumRings NumAromaticCarbocycles NumAromaticRings NumAliphaticRings NumAromaticHeterocycles NumHeteroatoms NumSaturatedHeterocycles NumSaturatedCarbocycles NumSaturatedRings NOCount
CCN(CC)c1ncc(N(CCc2ccccc2)S(C)(=O)=O)c(N[C@@H](Cc2ccc(OC(=O)N3CCCC3)cc2)C(=O)O)n1 4 2 3 1 1 13 1 0 1 12
CC(C)C(=O)Nc1ccccc1OC(=O)C(C)C 1 1 1 0 0 4 0 0 0 4
NS(=O)(=O)c1ccc(CNC(=O)c2ccc(CN(Cc3ccc(F)cc3)S(=O)(=O)c3cc(Cl)cc(Cl)c3O)cc2)cc1 4 4 4 0 0 14 0 0 0 9
O=C(Nc1cccc(C(F)(F)F)c1)N(Cc1ccccc1)C1CCN(Cc2ccc3c(c2)OCCO3)CC1 5 3 3 2 0 9 1 0 1 6
O=c1[nH]c(=O)c2nc(-c3ccc(Cl)cc3)cnc2[nH]1 3 1 3 0 2 7 0 0 0 6
N#Cc1cccc(S(=O)(=O)N2c3ccc(C(=O)N4CCOCC4)c(=O)n3[C@H](c3ccc(Cl)cc3)[C@@H]2c2ccc(Cl)cc2)c1 6 3 4 2 1 12 1 0 1 9
CCC(C)n1nc(C)c2c1N(CC)C(=O)[C@@H](NC(=O)c1cccc(C)c1)[C@H]2c1ccc(F)cc1 4 2 3 1 1 7 0 0 0 6
O=C(O)C[C@H](NC(=O)CN1CC[C@H](CCc2ccc3c(n2)NCCC3)C1=O)c1cccc(F)c1 4 1 2 2 1 9 1 0 1 8
C[C@@]1(C(=O)N[C@@H](Cc2ccc(-c3cccc(C#N)c3)cc2)C(=O)O)CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1 4 3 3 1 0 11 1 0 1 8
CC(=O)c1ccc(N=Nc2ccc(C[P+](c3ccccc3)(c3ccccc3)c3ccccc3)cc2)cc1 5 5 5 0 0 4 0 0 0 3
CCCCc1ccc(Nc2cc(C)nc3nc(SCc4ccccc4)nn23)cc1 4 2 4 0 2 6 0 0 0 5
O=[N+]([O-])c1ccc(NS(=O)(=O)N2CCCCC2)cc1 2 1 1 1 0 8 1 0 1 7
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1 3 2 3 0 1 3 0 0 0 3
COc1ccc(C(CC(=O)O)CC(=O)NNC(=O)CCCCNc2ccccn2)cc1 2 1 2 0 1 9 0 0 0 9
O=c1cc(O)cc(/C=C/c2ccc(O)c(O)c2)o1 2 1 2 0 1 5 0 0 0 5
COc1ccc(CCCOC(=O)[C@@H]2CCCN2/C(S)=N/C2CCCCC2)cc1OC 3 1 1 2 0 7 1 1 2 6
O=C(/C=C/c1ccccc1)Nc1nnc(SCc2csc3ccc(Cl)cc23)[nH]1 4 2 4 0 2 8 0 0 0 5
COc1cc(COC2(c3ccc(OCOCC[Si](C)(C)C)cc3)c3ccccc3C(=O)N2Cc2ccccc2)cc(OC)c1O 5 4 4 1 0 9 0 0 0 8
CC(C)n1cc(C(=O)NC[C@H](NC(=O)c2c(Cl)cc3c(c2Cl)CCN(C(=O)c2ccc(Cl)cc2)C3)C(=O)O)nn1 4 2 3 1 1 14 0 0 0 11
