dlip_id,SMILES,Target_Pref_Name,Common_Target_Pref_Name,uniprot_id1,uniprot_id2,uniprot_id3,uniprot_id4,uniprot_id5,ppi_label,label
P0007T,CCc1c(C(=O)NCc2c(O)ccc3cccc(O)c23)[nH]c(C)c1C(C)=O,CREBBP/H4,CREBBP/H4,Q92793,P62805,,,,1.0,1
P0002O,CNC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1,CREBBP/H4,CREBBP/H4,Q92793,P62805,,,,1.0,1
P00088,CCc1c(C(=O)NCc2cccc(Cl)c2)[nH]c(C)c1C(C)=O,CREBBP/H4,CREBBP/H4,Q92793,P62805,,,,1.0,1
P0001B,C[C@@H]1CC(=O)Nc2cccc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2N1,CREBBP/H4,CREBBP/H4,Q92793,P62805,,,,1.0,1
P000AS,CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3F)nn2[C@H]2CCOC2)C1,CREBBP/H4,CREBBP/H4,Q92793,P62805,,,,1.0,1
P000K3,CCC(=O)N1CCOc2c(cc(-c3ccc(OC)c(OC)c3)cc2OC[C@@H]2CCCN(C)C2)C1,CREBBP/H4,CREBBP/H4,Q92793,P62805,,,,1.0,1
P000F1,CN1CCCC1=O,CREBBP/H4,CREBBP/H4,Q92793,P62805,,,,1.0,1
P000B1,C[C@@H]1CC(=O)Nc2cccc(C(=O)NCc3ccccc3)c2N1,CREBBP/H4,CREBBP/H4,Q92793,P62805,,,,1.0,1
P000BA,CCOc1ccc(C(C)=O)cc1Nc1ccc2ccn(S(C)(=O)=O)c2c1,CREBBP/H4,CREBBP/H4,Q92793,P62805,,,,1.0,1
P0005G,CC(=O)n1cc(-c2c(C)[nH][nH]c2=O)c2ccccc21,CREBBP/H4,CREBBP/H4,Q92793,P62805,,,,1.0,1
P000I8,Cn1cc(-c2cc3c(cc2C(F)F)N(c2ccc4sc(=O)n(C)c4c2)CCC3)cn1,CREBBP/H4,CREBBP/H4,Q92793,P62805,,,,1.0,1
