uniprot_id,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_TN,PCP_SM,PCP_LR
P77173,0.128,0.122,0.75,0.195,0.527,0.454,0.125,0.055,0.122,0.128,0.75,0.5,0.28,0.341,0.067,0.04,0.198,0.506,0.494
P0A9A6,0.099,0.141,0.76,0.138,0.58,0.504,0.039,0.042,0.141,0.099,0.76,0.533,0.18,0.381,0.094,0.042,0.264,0.58,0.42
Q8WTS1,0.132,0.117,0.751,0.192,0.519,0.427,0.069,0.103,0.117,0.132,0.751,0.507,0.241,0.338,0.115,0.043,0.238,0.501,0.499
Q00G26,0.134,0.153,0.713,0.194,0.51,0.464,0.065,0.039,0.153,0.134,0.713,0.516,0.207,0.376,0.102,0.039,0.259,0.529,0.471
Q96SW2,0.131,0.136,0.733,0.253,0.446,0.367,0.057,0.081,0.136,0.131,0.733,0.5,0.222,0.362,0.122,0.063,0.201,0.459,0.541
Q06187,0.155,0.129,0.716,0.244,0.437,0.354,0.056,0.109,0.129,0.155,0.716,0.44,0.246,0.354,0.121,0.049,0.199,0.431,0.569
O14867,0.129,0.158,0.713,0.302,0.38,0.33,0.052,0.056,0.158,0.129,0.713,0.439,0.212,0.439,0.171,0.058,0.261,0.51,0.49
O60675,0.199,0.122,0.679,0.244,0.397,0.365,0.038,0.026,0.122,0.199,0.679,0.462,0.276,0.372,0.179,0.026,0.218,0.487,0.513
P40337,0.131,0.192,0.676,0.16,0.474,0.423,0.089,0.066,0.192,0.131,0.676,0.432,0.263,0.399,0.085,0.023,0.192,0.488,0.512
Q02750,0.14,0.127,0.733,0.188,0.511,0.438,0.074,0.064,0.127,0.14,0.733,0.478,0.247,0.356,0.107,0.048,0.232,0.483,0.517
O60240,0.13,0.123,0.747,0.213,0.515,0.471,0.084,0.04,0.123,0.13,0.747,0.523,0.234,0.375,0.149,0.027,0.287,0.567,0.433
P32455,0.154,0.149,0.698,0.24,0.424,0.348,0.034,0.073,0.149,0.154,0.698,0.448,0.221,0.389,0.12,0.046,0.186,0.41,0.59
P11309,0.15,0.141,0.709,0.176,0.508,0.428,0.061,0.089,0.141,0.15,0.709,0.482,0.236,0.345,0.099,0.032,0.208,0.454,0.546
P46937,0.087,0.101,0.812,0.288,0.476,0.405,0.119,0.042,0.101,0.087,0.812,0.482,0.254,0.444,0.173,0.044,0.244,0.577,0.423
P28347,0.148,0.11,0.742,0.232,0.469,0.378,0.066,0.094,0.11,0.148,0.742,0.469,0.254,0.354,0.129,0.047,0.235,0.491,0.509
P11802,0.142,0.119,0.739,0.168,0.548,0.469,0.083,0.083,0.119,0.142,0.739,0.531,0.248,0.323,0.099,0.04,0.215,0.515,0.485
P24864,0.144,0.141,0.715,0.21,0.476,0.385,0.061,0.083,0.141,0.144,0.715,0.502,0.234,0.329,0.102,0.063,0.2,0.451,0.549
P00533,0.13,0.114,0.756,0.242,0.46,0.398,0.062,0.07,0.114,0.13,0.756,0.492,0.246,0.347,0.122,0.07,0.249,0.526,0.474
Q6W2J9,0.14,0.129,0.732,0.236,0.455,0.407,0.101,0.06,0.129,0.14,0.732,0.462,0.281,0.379,0.156,0.032,0.256,0.561,0.439
P41182,0.157,0.108,0.735,0.265,0.422,0.36,0.092,0.067,0.108,0.157,0.735,0.477,0.297,0.334,0.153,0.072,0.263,0.527,0.473
P35222,0.118,0.115,0.767,0.214,0.513,0.449,0.045,0.047,0.115,0.118,0.767,0.517,0.202,0.365,0.115,0.052,0.241,0.51,0.49
P36402,0.151,0.125,0.724,0.208,0.49,0.432,0.102,0.057,0.125,0.151,0.724,0.432,0.279,0.398,0.12,0.031,0.286,0.513,0.487
P04637,0.148,0.127,0.725,0.239,0.45,0.382,0.115,0.061,0.127,0.148,0.725,0.473,0.298,0.377,0.153,0.056,0.242,0.545,0.455
Q9UBN7,0.106,0.117,0.777,0.238,0.512,0.447,0.058,0.062,0.117,0.106,0.777,0.514,0.192,0.396,0.137,0.051,0.281,0.539,0.461
P36888,0.117,0.12,0.763,0.259,0.454,0.356,0.043,0.115,0.12,0.117,0.763,0.484,0.21,0.359,0.142,0.057,0.231,0.484,0.516
Q05397,0.144,0.13,0.725,0.226,0.465,0.391,0.066,0.078,0.13,0.144,0.725,0.47,0.244,0.364,0.125,0.046,0.21,0.464,0.536
P35916,0.136,0.126,0.738,0.231,0.475,0.404,0.054,0.084,0.126,0.136,0.738,0.486,0.221,0.363,0.133,0.045,0.251,0.507,0.493
P19438,0.125,0.112,0.763,0.275,0.451,0.398,0.081,0.07,0.112,0.125,0.763,0.519,0.244,0.358,0.147,0.077,0.255,0.538,0.462
